dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
LM,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.1,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,16.8,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,24.6,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,62.4,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.2,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,18.2,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.2,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,68.5,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.5,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.8,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,12.2,Exact numeric cell from the author plotting workbook.
AVG,fig2_execution_breakdown,AVG,TGS (%),workbook_a,exact_workbook_value,Sheet1!C26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,47.1,Explicit average cell from the author plotting workbook.
AVG,fig2_execution_breakdown,AVG,MG (%),workbook_a,exact_workbook_value,Sheet1!D26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.7,Explicit average cell from the author plotting workbook.
AVG,fig2_execution_breakdown,AVG,VMU (%),workbook_a,exact_workbook_value,Sheet1!E26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,33.0,Explicit average cell from the author plotting workbook.
AVG,fig2_execution_breakdown,AVG,TA (%),workbook_a,exact_workbook_value,Sheet1!F26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.2,Explicit average cell from the author plotting workbook.
