dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
GT,fig13_ablation_time,TGN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K42,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,4.45,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,TGN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L42,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.55,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,TGAT,TempGNN,workbook_b,exact_workbook_value,Sheet1!J43,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,TGAT,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K43,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.15,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,TGAT,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L43,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.12,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,TGAT,TempGNN,workbook_b,exact_workbook_value,Sheet1!J44,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,TGAT,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K44,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.05,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,TGAT,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L44,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.08,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,TGAT,TempGNN,workbook_b,exact_workbook_value,Sheet1!J45,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,TGAT,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K45,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.25,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,TGAT,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L45,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.15,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,TGAT,TempGNN,workbook_b,exact_workbook_value,Sheet1!J46,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,TGAT,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K46,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.85,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,TGAT,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L46,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.05,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,TGAT,TempGNN,workbook_b,exact_workbook_value,Sheet1!J47,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,TGAT,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K47,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.45,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,TGAT,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L47,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.18,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,TGAT,TempGNN,workbook_b,exact_workbook_value,Sheet1!J48,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,TGAT,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K48,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.65,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,TGAT,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L48,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.25,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,APAN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J49,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,APAN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K49,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.25,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,APAN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L49,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.85,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,APAN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J50,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,APAN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K50,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.12,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
