dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
RT,fig11_speedup_matg,TGN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/RT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4701,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/LM/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3697,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.5386,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/GT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.6483,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGAT,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WK/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3469,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGAT,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/MC/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3195,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGAT,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/RT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.3788,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGAT,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/LM/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.2784,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGAT,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4199,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGAT,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/GT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4793,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
