figure,model,dataset,solution,x,value,source_id,source_kind,source_locator,source_sha256,value_note
fig2_execution_breakdown,APAN,MC,MG (%),,6.5,workbook_a,exact_workbook_value,Sheet1!D21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,MC,VMU (%),,17.5,workbook_a,exact_workbook_value,Sheet1!E21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,MC,TA (%),,25.8,workbook_a,exact_workbook_value,Sheet1!F21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,RT,TGS (%),,56.8,workbook_a,exact_workbook_value,Sheet1!C22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,RT,MG (%),,5.2,workbook_a,exact_workbook_value,Sheet1!D22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,RT,VMU (%),,19.5,workbook_a,exact_workbook_value,Sheet1!E22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,RT,TA (%),,18.5,workbook_a,exact_workbook_value,Sheet1!F22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,LM,TGS (%),,52.5,workbook_a,exact_workbook_value,Sheet1!C23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,LM,MG (%),,6.1,workbook_a,exact_workbook_value,Sheet1!D23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,LM,VMU (%),,16.8,workbook_a,exact_workbook_value,Sheet1!E23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,LM,TA (%),,24.6,workbook_a,exact_workbook_value,Sheet1!F23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WT,TGS (%),,62.4,workbook_a,exact_workbook_value,Sheet1!C24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WT,MG (%),,4.2,workbook_a,exact_workbook_value,Sheet1!D24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,WT,VMU (%),,18.2,workbook_a,exact_workbook_value,Sheet1!E24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
