dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
LM,fig12_energy_tempgnn,JODIE,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/LM/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,10.867,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,JODIE,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/WT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,10.08,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,JODIE,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/GT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,11.891,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,TGN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/WK/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.424,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,TGN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/MC/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.188,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,TGN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/RT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.975,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,TGN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/LM/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,11.182,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,TGN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/WT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,10.395,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,TGN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/GT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,12.205,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,TGAT,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/WK/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,5.432,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,TGAT,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/MC/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,5.117,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,TGAT,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/RT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,5.669,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,TGAT,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/LM/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,6.928,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,TGAT,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/WT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,6.377,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,TGAT,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/GT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.897,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,APAN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/WK/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.188,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,APAN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/MC/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.03,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,APAN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/RT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.818,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,APAN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/LM/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,11.024,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,APAN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/WT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,10.237,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,APAN,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/GT/ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,11.969,Digitized from the vector bar geometry using the plotted broken-axis calibration.
AVG,fig12_energy_tempgnn,AVG,ViTeGNN,vector_fig12,vector_geometry_digitization,Fig.12 AVG bar:ViTeGNN,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,8.897,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
