dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
RT,fig9b_gpu_overhead_breakdown,TGAT,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K17,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,6.5,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,TGAT,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L17,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,15.3,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,TGAT,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J18,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,84.6,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,TGAT,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K18,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,5.2,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,TGAT,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L18,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,10.2,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,TGAT,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J19,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,70.4,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,TGAT,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K19,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,10.6,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,TGAT,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L19,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,19.0,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,TGAT,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J20,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,64.5,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,TGAT,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K20,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,15.3,Exact numeric cell from the author plotting workbook.
